           YEAR,           JDAY,           FSIN,          FSOUT,           ALBT,           FLIN,          FLOUT,            GTE,          QSENS,           QEVP,          GZERO,             TA,           TCAN,           CMAS,           TSNO,           TPND,          TSOL1,          TSOL2,          TSOL3,           TICE,             QA,             UV,           PRES,
           2000,              1,   50.68299    ,   40.53300    ,  0.1930589    ,   222.8548    ,   273.9601    ,  -9.544434    ,   40.96030    ,   16.72047    ,  -68.38663    ,  -13.69324    ,  -11.02469    ,   8.271279    ,  -11.14832    ,   0.000000    , -0.4377747    ,   2.133484    ,  0.8362732    ,   0.000000    ,  0.1433266E-02,  0.5188789    ,   77020.11    ,
           2000,              2,   29.40650    ,   22.32875    ,  0.2329871    ,   232.3909    ,   260.0547    ,  -12.93164    ,   16.76125    ,   3.432730    ,  -24.88921    ,  -14.89996    ,  -13.74768    ,   8.299568    ,  -8.804321    ,   0.000000    , -0.8840637    ,   3.239563    ,  0.8507996    ,   0.000000    ,  0.1266069E-02,  0.5916472    ,   77337.54    ,
           2000,              3,   40.21935    ,   29.89578    ,  0.2483122    ,   199.8260    ,   241.1186    ,  -17.83383    ,   16.52924    ,   1.445152    ,  -29.10675    ,  -19.07179    ,  -18.45314    ,   8.392615    ,  -12.30859    ,   0.000000    ,  -2.746887    ,   3.231262    ,  0.8773193    ,   0.000000    ,  0.8770270E-03,  0.6180562    ,   78223.50    ,
           2000,              4,   48.13951    ,   33.94159    ,  0.2866385    ,   216.5106    ,   253.3642    ,  -14.74127    ,   8.500713    ,   4.208260    ,  -18.46872    ,  -14.68518    ,  -14.58142    ,   8.290809    ,  -10.73264    ,   0.000000    ,  -3.382172    ,   1.433044    ,  0.8965454    ,   0.000000    ,  0.1364608E-02,   2.608644    ,   77324.70    ,
           2000,              5,   41.03777    ,   26.55384    ,  0.3486175    ,   211.7814    ,   253.4819    ,  -14.77014    ,  -1.345848    ,   7.594360    ,  -16.83431    ,  -10.92331    ,  -13.47794    ,   8.260548    ,  -8.935913    ,   0.000000    ,  -3.019897    ,  0.3982544    ,  0.8961182    ,   0.000000    ,  0.1496267E-02,   3.969217    ,   77990.20    ,
           2000,              6,   43.97071    ,   28.49287    ,  0.3441409    ,   199.6794    ,   235.8870    ,  -19.41280    ,   8.270839    ,   1.851559    ,  -20.11471    ,  -13.88599    ,  -18.70195    ,   8.309457    ,  -13.07599    ,   0.000000    ,  -5.341919    , -0.7632446E-01,  0.8905029    ,   0.000000    ,  0.1396894E-02,   1.360418    ,   78239.49    ,
           2000,              7,   44.69806    ,   29.01801    ,  0.3422889    ,   207.9300    ,   246.7237    ,  -16.47552    ,   3.779322    ,   4.476021    ,  -17.63455    ,  -11.11523    ,  -15.61334    ,   8.254500    ,  -11.18988    ,   0.000000    ,  -4.771057    , -0.3758240    ,  0.8811646    ,   0.000000    ,  0.1671437E-02,   2.991444    ,   77807.46    ,
           2000,              8,   39.06851    ,   25.17728    ,  0.3479366    ,   223.7579    ,   257.2351    ,  -13.72482    , -0.6236283E-01,   4.206519    ,  -14.00883    ,  -11.03781    ,  -12.88593    ,   8.213078    ,  -9.433807    ,   0.000000    ,  -4.080627    , -0.3968506    ,  0.8701172    ,   0.000000    ,  0.1780924E-02,   2.741929    ,   76921.09    ,
           2000,              9,   49.25606    ,   31.59421    ,  0.3505102    ,   197.7026    ,   244.3481    ,  -17.13721    ,  -2.195033    ,   5.757273    ,  -18.12693    ,  -12.09772    ,  -15.43976    ,   8.200080    ,  -11.41837    ,   0.000000    ,  -4.770508    , -0.3888855    ,  0.8588562    ,   0.000000    ,  0.1378317E-02,   3.574849    ,   76362.64    ,
           2000,             10,   52.61061    ,   32.72143    ,  0.3694210    ,   184.0862    ,   234.2440    ,  -19.76698    ,   3.091838    ,   3.506742    ,  -19.76812    ,  -14.56348    ,  -17.52217    ,   8.247788    ,  -11.93597    ,   0.000000    ,  -4.795105    , -0.3985596    ,  0.8482361    ,   0.000000    ,  0.1080080E-02,   2.424083    ,   76826.60    ,
