           YEAR,           JDAY,        PRECACC,          ETACC,         RFFACC,      OVRFLWACC,      LATFLWACC,         LKGACC,       DSTGWACC,           PREC,             ET,            RFF,         OVRFLW,         LATFLW,            LKG,        FZWSCAN,        LQWSCAN,            SNO,        LQWSSNO,        LQWSPND,       LQWSSOL1,       FZWSSOL1,       ALWSSOL1,       LQWSSOL2,       FZWSSOL2,       ALWSSOL2,       LQWSSOL3,       FZWSSOL3,       ALWSSOL3,        LQWSSOL,        FZWSSOL,        ALWSSOL,        LQWSICE,       DRAINSOL,          STGGW,           STGW,          DSTGW,
           2000,              1,   1.125623    ,  0.4067658    ,   63.26049    ,  0.2251727E-02,   63.25444    ,  0.3799374E-02,  -55.11609    ,   1.125623    ,  0.4067658    ,   63.26049    ,  0.2251727E-02,   63.25444    ,  0.3799374E-02,  0.2057398    ,   0.000000    ,  0.1356727    ,   0.000000    ,   0.000000    ,   15.25691    ,   5.637660    ,   20.89457    ,   57.83109    ,   0.000000    ,   57.83109    ,   426.0786    ,   0.000000    ,   426.0786    ,   499.1666    ,   5.637660    ,   504.8042    ,   0.000000    ,   4.883644    ,   3.333735    ,   508.4794    ,  -55.11609    ,
           2000,              2,   2.220100    ,  0.5196041    ,   65.21817    ,  0.2530620E-02,   65.19799    ,  0.1763705E-01,  -60.10571    ,   1.094477    ,  0.1128383    ,   1.957675    ,  0.2788920E-03,   1.943559    ,  0.1383768E-01,  0.7400244    ,   0.000000    ,  0.8469159    ,   0.000000    ,   0.000000    ,   8.537853    ,   15.79755    ,   24.33540    ,   54.13671    ,  0.2162324E-02,   54.13887    ,   413.1190    ,   0.000000    ,   413.1190    ,   475.7936    ,   15.79971    ,   491.5933    ,   0.000000    ,   3.503202    ,   6.775244    ,   499.9555    ,  -8.523834    ,
           2000,              3,   3.723210    ,  0.5653040    ,   65.24123    ,  0.2542062E-02,   65.19799    ,  0.4065580E-01,  -61.17261    ,   1.503110    ,  0.4569991E-01,  0.2303020E-01,  0.1144288E-04,   0.000000    ,  0.2301876E-01,  0.9907591    ,   0.000000    ,   1.450220    ,   0.000000    ,   0.000000    ,   5.086575    ,   22.36841    ,   27.45498    ,   51.24989    ,  0.3251975E-01,   51.28241    ,   409.5538    ,   0.000000    ,   409.5538    ,   465.8903    ,   22.40093    ,   488.2912    ,   0.000000    ,   2.817689    ,   9.868091    ,   500.6003    ,  0.6447754    ,
           2000,              4,   6.343405    ,  0.6936764    ,   65.27271    ,  0.2542062E-02,   65.19799    ,  0.7213270E-01,  -61.16190    ,   2.620195    ,  0.1283724    ,  0.3147689E-01,   0.000000    ,   0.000000    ,  0.3147689E-01,   1.499971    ,   0.000000    ,   2.831241    ,   0.000000    ,   0.000000    ,   3.943070    ,   25.34081    ,   29.28387    ,   49.17584    ,  0.5401694    ,   49.71601    ,   406.7069    ,   0.000000    ,   406.7069    ,   459.8258    ,   25.88097    ,   485.7068    ,  0.8136587E-08,   2.397467    ,   12.42503    ,   502.4630    ,   1.862701    ,
           2000,              5,   7.987141    ,  0.9251772    ,   65.31199    ,  0.2542062E-02,   65.19799    ,  0.1114129    ,  -60.63031    ,   1.643735    ,  0.2315008    ,  0.3928023E-01,   0.000000    ,   0.000000    ,  0.3928023E-01,   1.983319    ,   0.000000    ,   4.856967    ,   0.000000    ,   0.000000    ,   3.912056    ,   26.68145    ,   30.59351    ,   47.40613    ,   1.347343    ,   48.75348    ,   404.1264    ,   0.000000    ,   404.1264    ,   455.4445    ,   28.02880    ,   483.4734    ,  0.2986294E-08,   2.092307    ,   14.62286    ,   504.9366    ,   2.473541    ,
           2000,              6,   8.444836    ,  0.9816059    ,   65.35843    ,  0.2542062E-02,   65.19799    ,  0.1578530    ,  -60.17654    ,  0.4576941    ,  0.5642889E-01,  0.4644001E-01,   0.000000    ,   0.000000    ,  0.4644001E-01,   1.910818    ,   0.000000    ,   5.590973    ,   0.000000    ,   0.000000    ,   3.776079    ,   27.81555    ,   31.59163    ,   44.87017    ,   3.401118    ,   48.27129    ,   401.6523    ,   0.000000    ,   401.6523    ,   450.2986    ,   31.21667    ,   481.5152    ,  0.1426902E-08,   1.842359    ,   16.53799    ,   505.5549    ,  0.6183777    ,
           2000,              7,   9.373880    ,   1.118019    ,   65.41140    ,  0.2542062E-02,   65.19799    ,  0.2108204    ,  -59.78644    ,  0.9290446    ,  0.1364127    ,  0.5296740E-01,   0.000000    ,   0.000000    ,  0.5296740E-01,   1.821896    ,   0.000000    ,   6.210723    ,   0.000000    ,   0.000000    ,   3.776069    ,   28.44720    ,   32.22327    ,   41.19361    ,   7.140437    ,   48.33406    ,   399.2296    ,   0.000000    ,   399.2296    ,   444.1993    ,   35.58764    ,   479.7869    ,  0.1541507E-07,   1.628967    ,   18.21635    ,   506.0358    ,  0.4808655    ,
           2000,              8,   9.931517    ,   1.246219    ,   65.47031    ,  0.2542062E-02,   65.19799    ,  0.2697165    ,  -59.41547    ,  0.5576374    ,  0.1282001    ,  0.5889611E-01,   0.000000    ,   0.000000    ,  0.5889611E-01,   1.766366    ,   0.000000    ,   6.954979    ,   0.000000    ,   0.000000    ,   3.776151    ,   28.83785    ,   32.61401    ,   37.78374    ,   10.94952    ,   48.73325    ,   396.9061    ,   0.000000    ,   396.9061    ,   438.4660    ,   39.78737    ,   478.2534    ,  0.1914535E-07,   1.451131    ,   19.69382    ,   506.6685    ,  0.6326904    ,
           2000,              9,   11.45051    ,   1.421680    ,   65.53459    ,  0.2542062E-02,   65.19799    ,  0.3340060    ,  -59.06372    ,   1.518997    ,  0.1754614    ,  0.6428955E-01,   0.000000    ,   0.000000    ,  0.6428955E-01,   1.717563    ,   0.000000    ,   7.640228    ,   0.000000    ,   0.000000    ,   3.776094    ,   29.10125    ,   32.87734    ,   34.99423    ,   14.29234    ,   49.28658    ,   394.7174    ,   0.000000    ,   394.7174    ,   433.4878    ,   43.39359    ,   476.8813    ,  0.1713135E-07,   1.303514    ,   21.00408    ,   507.2433    ,  0.5747681    ,
           2000,             10,   12.04720    ,   1.528553    ,   65.60381    ,  0.2542062E-02,   65.19799    ,  0.4032167    ,  -58.66205    ,  0.5966818    ,  0.1068722    ,  0.6921065E-01,   0.000000    ,   0.000000    ,  0.6921065E-01,   1.864855    ,   0.000000    ,   8.748103    ,   0.000000    ,   0.000000    ,   3.776060    ,   29.27738    ,   33.05344    ,   31.77173    ,   18.16966    ,   49.94139    ,   392.6492    ,   0.000000    ,   392.6492    ,   428.1970    ,   47.44704    ,   475.6440    ,   0.000000    ,   1.179707    ,   22.17450    ,   508.4315    ,   1.188263    ,
